name,n_dialogues,n_sentences_dialogue,n_tokens_dialogue,n_tokens_per_sentence,n_tokens_max_per_sentence_dialoguen_extracts_per_summary_rel,n_tokens_per_extract_rel,n_tokens_min_per_extract_rel,n_tokens_max_per_extract_rel,n_extracts_per_summary_fine,n_tokens_per_extract_fine,n_tokens_min_per_extract_fine,n_tokens_max_per_extract_fine,n_tokens_max_per_sentence_dialogue,n_extracts_per_summary_rel
test,819,9,117,13.0,,9.4,3,9,5,3.6,1,5,29.0,5.0
test,819,16,142,8.875,,13.333333333333334,3,11,3,6.0,4,9,20.0,3.0
test,819,11,158,14.363636363636363,,12.0,3,14,7,5.0,2,11,43.0,7.0
test,819,12,128,10.666666666666666,,13.333333333333334,3,14,3,3.3333333333333335,1,5,24.0,3.0
test,819,18,300,16.666666666666668,,15.714285714285714,1,29,15,4.4,1,11,60.0,14.0
test,819,24,369,15.375,,26.0,3,32,16,9.8125,1,31,61.0,13.0
test,819,31,291,9.387096774193548,,13.4,3,25,12,4.833333333333333,1,20,29.0,10.0
test,819,9,114,12.666666666666666,,16.333333333333332,3,22,3,5.666666666666667,3,10,34.0,3.0
test,819,19,131,6.894736842105263,,15.166666666666666,3,13,7,3.5714285714285716,2,5,13.0,6.0
test,819,2,117,58.5,,10.0,5,23,9,3.6666666666666665,1,11,106.0,8.0
test,819,12,131,10.916666666666666,,9.714285714285714,3,18,7,3.7142857142857144,1,10,42.0,7.0
test,819,8,108,13.5,,11.6,5,12,5,3.8,2,5,39.0,5.0
test,819,11,79,7.181818181818182,,12.4,3,14,6,4.0,1,10,14.0,5.0
test,819,3,33,11.0,,9.333333333333334,3,10,4,3.75,1,6,22.0,3.0
test,819,7,156,22.285714285714285,,15.166666666666666,8,20,5,7.8,3,16,53.0,6.0
test,819,17,134,7.882352941176471,,12.6,3,10,5,3.8,1,7,19.0,5.0
test,819,3,68,22.666666666666668,,9.5,9,10,2,5.0,5,5,33.0,2.0
test,819,19,174,9.157894736842104,,15.285714285714286,3,20,4,8.75,4,14,20.0,7.0
test,819,45,458,10.177777777777777,,31.0,3,46,6,14.333333333333334,1,32,46.0,10.0
test,819,4,55,13.75,,13.0,10,15,5,4.6,1,9,20.0,3.0
test,819,45,486,10.8,,23.833333333333332,1,31,16,8.875,2,25,28.0,18.0
test,819,17,223,13.117647058823529,,14.23076923076923,3,22,13,6.076923076923077,1,17,30.0,13.0
test,819,22,332,15.090909090909092,,24.2,3,24,11,7.818181818181818,3,19,38.0,10.0
test,819,7,69,9.857142857142858,,12.75,3,21,5,3.8,3,5,23.0,4.0
test,819,19,171,9.0,,12.88888888888889,5,20,9,5.444444444444445,1,9,29.0,9.0
test,819,42,339,8.071428571428571,,17.333333333333332,2,19,18,4.055555555555555,1,11,19.0,12.0
test,819,3,37,12.333333333333334,,10.0,3,7,1,5.0,5,5,18.0,1.0
test,819,14,141,10.071428571428571,,19.5,3,23,7,7.142857142857143,2,18,26.0,6.0
test,819,8,113,14.125,,10.2,6,14,6,4.666666666666667,1,8,36.0,5.0
