name,n_dialogues,n_sentences_dialogue,n_words_dialogue,n_words_per_sentence,n_extracts_per_summary_rel,n_words_per_extract_rel,n_extracts_per_summary_fine,n_words_per_extract_fine
test,819,16,86,5.375,5,6.6,5,2.8
test,819,17,98,5.764705882352941,3,9.0,3,4.666666666666667
test,819,17,122,7.176470588235294,7,9.571428571428571,7,4.714285714285714
test,819,11,95,8.636363636363637,3,10.0,3,3.0
test,819,25,231,9.24,14,12.285714285714286,15,4.266666666666667
test,819,19,311,16.36842105263158,13,22.0,16,9.5
test,819,29,214,7.379310344827586,10,10.6,12,4.583333333333333
test,819,9,93,10.333333333333334,3,13.333333333333334,3,5.333333333333333
test,819,11,98,8.909090909090908,6,11.5,7,3.0
test,819,15,99,6.6,8,8.75,9,3.6666666666666665
test,819,15,98,6.533333333333333,7,7.285714285714286,7,3.5714285714285716
test,819,11,86,7.818181818181818,5,9.4,5,3.8
test,819,8,63,7.875,5,10.2,6,4.0
test,819,5,28,5.6,3,8.0,4,3.75
test,819,13,133,10.23076923076923,6,13.166666666666666,5,7.8
test,819,14,97,6.928571428571429,5,9.6,5,3.8
test,819,10,53,5.3,2,7.5,2,4.0
test,819,14,132,9.428571428571429,7,11.857142857142858,4,7.75
test,819,22,366,16.636363636363637,10,25.9,6,13.166666666666666
test,819,7,45,6.428571428571429,3,11.0,5,4.6
test,819,22,376,17.09090909090909,18,18.555555555555557,16,8.0
test,819,19,189,9.947368421052632,13,12.384615384615385,13,6.0
test,819,17,267,15.705882352941176,10,19.8,11,7.363636363636363
test,819,7,53,7.571428571428571,4,10.0,5,3.6
test,819,17,134,7.882352941176471,9,10.555555555555555,9,5.111111111111111
test,819,29,241,8.310344827586206,12,12.75,18,3.7777777777777777
test,819,5,28,5.6,1,9.0,1,5.0
test,819,9,115,12.777777777777779,6,15.833333333333334,7,6.857142857142857
test,819,16,91,5.6875,5,8.8,6,4.666666666666667
test,819,29,299,10.310344827586206,8,18.5,4,6.25
test,819,4,27,6.75,2,11.5,2,4.5
test,819,11,86,7.818181818181818,2,23.5,2,5.5
test,819,9,41,4.555555555555555,2,5.5,3,1.6666666666666667
test,819,5,23,4.6,2,5.5,3,2.0
test,819,8,97,12.125,5,15.8,6,7.666666666666667
test,819,6,48,8.0,1,16.0,1,12.0
test,819,13,99,7.615384615384615,5,8.4,5,2.0
test,819,8,69,8.625,2,11.5,2,6.0
test,819,7,49,7.0,2,9.5,3,4.666666666666667
test,819,16,138,8.625,8,11.375,6,4.666666666666667
test,819,24,245,10.208333333333334,7,13.285714285714286,7,7.142857142857143
test,819,9,62,6.888888888888889,3,9.666666666666666,4,3.75
test,819,18,237,13.166666666666666,12,18.25,12,4.333333333333333
test,819,4,21,5.25,2,7.5,2,3.5
test,819,10,52,5.2,5,6.8,6,2.5
test,819,7,55,7.857142857142857,2,8.5,2,5.5
test,819,17,148,8.705882352941176,5,13.2,11,2.4545454545454546
test,819,14,62,4.428571428571429,2,6.0,1,2.0
test,819,5,39,7.8,2,11.5,2,8.0
test,819,11,100,9.090909090909092,4,9.5,4,4.75
test,819,14,120,8.571428571428571,4,12.75,3,6.666666666666667
test,819,19,133,7.0,5,7.4,5,3.4
