name,n_dialogues,n_sentences_dialogue,n_tokens_dialogue,n_tokens_per_sentence,n_extracts_per_summary_rel,n_tokens_per_extract_rel,n_extracts_per_summary_fine,n_tokens_per_extract_fine
test,819,9,117,13.0,5,9.4,5,3.6
test,819,16,142,8.875,3,13.333333333333334,3,6.0
test,819,11,158,14.363636363636363,7,12.0,7,5.0
test,819,12,128,10.666666666666666,3,13.333333333333334,3,3.3333333333333335
test,819,18,300,16.666666666666668,14,15.714285714285714,15,4.4
test,819,24,369,15.375,13,26.0,16,9.8125
test,819,31,291,9.387096774193548,10,13.4,12,4.833333333333333
test,819,9,114,12.666666666666666,3,16.333333333333332,3,5.666666666666667
test,819,19,131,6.894736842105263,6,15.166666666666666,7,3.5714285714285716
test,819,2,117,58.5,8,10.0,9,3.6666666666666665
test,819,12,131,10.916666666666666,7,9.714285714285714,7,3.7142857142857144
test,819,8,108,13.5,5,11.6,5,3.8
test,819,11,79,7.181818181818182,5,12.4,6,4.0
test,819,3,33,11.0,3,9.333333333333334,4,3.75
test,819,7,156,22.285714285714285,6,15.166666666666666,5,7.8
test,819,17,134,7.882352941176471,5,12.6,5,3.8
test,819,3,68,22.666666666666668,2,9.5,2,5.0
test,819,19,174,9.157894736842104,7,15.285714285714286,4,8.75
test,819,45,458,10.177777777777777,10,31.0,6,14.333333333333334
test,819,4,55,13.75,3,13.0,5,4.6
test,819,45,486,10.8,18,23.833333333333332,16,8.875
test,819,17,223,13.117647058823529,13,14.23076923076923,13,6.076923076923077
test,819,22,332,15.090909090909092,10,24.2,11,7.818181818181818
test,819,7,69,9.857142857142858,4,12.75,5,3.8
test,819,19,171,9.0,9,12.88888888888889,9,5.444444444444445
test,819,42,339,8.071428571428571,12,17.333333333333332,18,4.055555555555555
test,819,3,37,12.333333333333334,1,10.0,1,5.0
test,819,14,141,10.071428571428571,6,19.5,7,7.142857142857143
test,819,8,113,14.125,5,10.2,6,4.666666666666667
test,819,41,383,9.341463414634147,8,21.875,4,6.25
test,819,1,35,35.0,2,14.5,2,4.5
test,819,9,123,13.666666666666666,2,34.0,2,7.0
test,819,9,58,6.444444444444445,2,7.5,3,1.6666666666666667
test,819,5,32,6.4,2,8.0,3,2.0
test,819,12,122,10.166666666666666,5,20.2,6,7.833333333333333
test,819,5,60,12.0,1,17.0,1,12.0
test,819,8,127,15.875,5,10.6,5,2.0
test,819,13,89,6.846153846153846,2,14.5,2,6.0
test,819,5,61,12.2,2,11.5,3,4.666666666666667
test,819,12,173,14.416666666666666,8,13.875,6,5.0
test,819,31,302,9.741935483870968,7,15.857142857142858,7,7.142857142857143
test,819,10,83,8.3,3,12.666666666666666,4,3.75
test,819,39,304,7.794871794871795,12,22.75,12,4.333333333333333
test,819,4,29,7.25,2,10.5,2,4.0
test,819,3,75,25.0,5,10.0,6,3.1666666666666665
test,819,1,71,71.0,2,11.0,2,6.0
test,819,22,198,9.0,5,16.8,11,2.4545454545454546
test,819,6,99,16.5,2,8.0,1,2.0
test,819,2,46,23.0,2,13.5,2,8.5
test,819,4,120,30.0,4,11.75,4,5.5
test,819,22,156,7.090909090909091,4,15.5,3,6.666666666666667
test,819,14,177,12.642857142857142,5,9.4,5,3.6
